tpy:CQ11_00010	rRNA	750..866	5S ribosomal RNA
tpy:CQ11_09880	CDS	2134511..2135173	fructose-2,6-bisphosphatase
tpy:CQ11_09885	CDS	complement(2135170..2135592)	hypothetical protein
tpy:CQ11_09890	CDS	complement(2135634..2136506)	1,4-dihydroxy-2-naphthoate prenyltransferase
tpy:CQ11_09895	CDS	complement(2136532..2137752)	O-succinylbenzoic acid--CoA ligase
tpy:CQ11_09900	CDS	complement(2137798..2138802)	C4-dicarboxylate ABC transporter
tpy:CQ11_09905	CDS	complement(2138957..2139841)	ABC transporter permease
tpy:CQ11_09910	CDS	complement(2139838..2140782)	sugar ABC transporter permease
tpy:CQ11_09915	CDS	complement(2140844..2142139)	sugar ABC transporter substrate-binding protein
tpy:CQ11_09920	CDS	complement(2142365..2143345)	naphthoate synthase
tpy:CQ11_09925	CDS	2143376..2144338	O-succinylbenzoate synthase
tpy:CQ11_09930	CDS	2144359..2145975	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
tpy:CQ11_09935	CDS	2146038..2147600	peptidase S1 and S6
tpy:CQ11_09940	CDS	complement(2147597..2148775)	isochorismate synthase
tpy:CQ11_09945	CDS	2148905..2149606	ubiquinone biosynthesis methyltransferase UbiE
tpy:CQ11_09950	CDS	2149730..2151007	drug:proton antiporter
tpy:CQ11_09955	CDS	2151099..2151458	NADH dehydrogenase
tpy:CQ11_09960	CDS	2151464..2152018	NADH dehydrogenase
tpy:CQ11_09965	CDS	2152015..2152695	NADH dehydrogenase
tpy:CQ11_09970	CDS	2152695..2154038	NADH dehydrogenase
tpy:CQ11_09975	CDS	2154038..2154721	NADH dehydrogenase
tpy:CQ11_09980	CDS	2154718..2156058	NADH dehydrogenase
tpy:CQ11_09985	CDS	2156055..2158625	NADH-quinone oxidoreductase subunit G
tpy:CQ11_09990	CDS	2158622..2159947	NADH:ubiquinone oxidoreductase subunit H
tpy:CQ11_09995	CDS	2159948..2160625	NADH:quinone oxidoreductase
tpy:CQ11_10000	CDS	2160625..2161617	NADH dehydrogenase
tpy:CQ11_10005	CDS	2161617..2161916	NADH:ubiquinone oxidoreductase subunit K
tpy:CQ11_10010	CDS	2161933..2163873	NADH-quinone oxidoreductase subunit L
tpy:CQ11_10015	CDS	2163895..2165412	NADH-quinone oxidoreductase subunit M
tpy:CQ11_10020	CDS	2165409..2167016	NADH:ubiquinone oxidoreductase subunit N
tpy:CQ11_10025	CDS	2167013..2168023	geranylgeranyl pyrophosphate synthase
tpy:CQ11_10030	CDS	2168144..2170993	preprotein translocase subunit SecA
tpy:CQ11_10035	CDS	complement(2171002..2171541)	energy transducer TonB
tpy:CQ11_10040	CDS	complement(2171551..2172126)	hypothetical protein
tpy:CQ11_10045	CDS	2172347..2172925	Fis family transcriptional regulator
tpy:CQ11_10050	CDS	complement(2172922..2173131)	excisionase
tpy:CQ11_10055	CDS	2173237..2173821	hypothetical protein
tpy:CQ11_10060	CDS	2173818..2174930	hypothetical protein
tpy:CQ11_10065	CDS	2174993..2175463	mucin
tpy:CQ11_10070	CDS	complement(2175477..2178539)	hypothetical protein
tpy:CQ11_10075	CDS	complement(2178521..2179678)	exodeoxyribonuclease I
tpy:CQ11_10080	CDS	complement(2179741..2180544)	histidinol phosphatase
tpy:CQ11_10085	CDS	complement(2180593..2181609)	GTP-binding protein
tpy:CQ11_10090	CDS	complement(2181602..2182879)	3-phosphoshikimate 1-carboxyvinyltransferase
tpy:CQ11_10095	CDS	complement(2182876..2183355)	hypothetical protein
tpy:CQ11_10100	CDS	2184440..2184682	hypothetical protein
tpy:CQ11_10105	CDS	complement(2185018..2185215)	hypothetical protein
tpy:CQ11_10110	CDS	complement(2186014..2187753)	alpha/beta hydrolase
tpy:CQ11_10115	CDS	complement(2187754..2188530)	GntR family transcriptional regulator
tpy:CQ11_10120	CDS	2188594..2190177	ABC transporter substrate-binding protein
tpy:CQ11_10125	CDS	2190312..2191265	ABC transporter permease
tpy:CQ11_10130	CDS	2191269..2193344	ABC transporter
tpy:CQ11_10135	CDS	2193341..2194147	ABC transporter
tpy:CQ11_10140	CDS	2194157..2195071	glucose dehydrogenase
tpy:CQ11_10145	CDS	2195082..2196017	hypothetical protein
tpy:CQ11_10150	CDS	2196021..2196692	N-acetylmannosamine-6-phosphate 2-epimerase
tpy:CQ11_10155	CDS	2196703..2197479	glucosamine-6-phosphate deaminase
tpy:CQ11_10160	CDS	2197476..2198642	N-acetylglucosamine-6-phosphate deacetylase
tpy:CQ11_10165	CDS	2198725..2199321	RNA polymerase sigma24 factor
tpy:CQ11_10170	CDS	2199318..2199614	anti-sigma factor
tpy:CQ11_10175	CDS	2200702..2201454	hypothetical protein
tpy:CQ11_10180	CDS	2201823..2203052	hypothetical protein
tpy:CQ11_10185	CDS	2203049..2204056	alcohol dehydrogenase
tpy:CQ11_10190	CDS	2206609..2207295	hypothetical protein
tpy:CQ11_10195	CDS	complement(2207352..2207939)	lysophospholipase
tpy:CQ11_10200	CDS	complement(2208010..2211765)	kgd; alpha-ketoglutarate decarboxylase
tpy:CQ11_10205	CDS	2211978..2213285	membrane protein
tpy:CQ11_10210	CDS	2213282..2214310	hypothetical protein
tpy:CQ11_10215	CDS	2214490..2215485	hypothetical protein
tpy:CQ11_10220	CDS	2215523..2216308	hypothetical protein
tpy:CQ11_10225	CDS	complement(2216322..2217068)	hypothetical protein
tpy:CQ11_10230	CDS	2217235..2218266	hypothetical protein
tpy:CQ11_10235	CDS	2218266..2218919	ABC transporter
tpy:CQ11_10240	CDS	2218916..2219980	hypothetical protein
tpy:CQ11_10245	CDS	2220219..2220404	hypothetical protein
tpy:CQ11_10250	tRNA	complement(2222318..2222390)	tRNA-Arg
tpy:CQ11_10255	CDS	2222526..2224205	arginyl-tRNA synthetase
tpy:CQ11_10260	CDS	2224208..2225563	diaminopimelate decarboxylase
tpy:CQ11_10265	CDS	2225594..2226871	homoserine dehydrogenase
tpy:CQ11_10270	CDS	2226871..2227971	L-threonine synthase
tpy:CQ11_10275	CDS	2227971..2228864	serine kinase
tpy:CQ11_10280	CDS	2229037..2230779	transcription termination factor Rho
tpy:CQ11_10285	CDS	2230921..2231133	50S ribosomal protein L31
tpy:CQ11_10290	CDS	2231208..2232320	peptide chain release factor 1
tpy:CQ11_10295	CDS	2232321..2233145	SAM-dependent methyltransferase
tpy:CQ11_10300	CDS	2233142..2233759	hypothetical protein
tpy:CQ11_10305	CDS	2233756..2234856	UDP-N-acetylmuramyl pentapeptide phosphotransferase
tpy:CQ11_10310	CDS	2234837..2235256	hypothetical protein
tpy:CQ11_10315	CDS	2235437..2236258	ATP synthase F0F1 subunit A
tpy:CQ11_10320	CDS	2236289..2236498	ATP synthase subunit C
tpy:CQ11_10325	CDS	2236495..2237061	ATP synthase F0F1 subunit B
tpy:CQ11_10330	CDS	2237063..2237872	hypothetical protein
tpy:CQ11_10335	CDS	2237912..2239537	ATP synthase F0F1 subunit alpha
tpy:CQ11_10340	CDS	2239540..2240427	ATP synthase F0F1 subunit gamma
tpy:CQ11_10345	CDS	2240448..2241905	ATP F0F1 synthase subunit beta
tpy:CQ11_10350	CDS	2241902..2242195	ATP synthase subunit epsilon
tpy:CQ11_10355	CDS	2242198..2242599	hypothetical protein
tpy:CQ11_10360	CDS	2242640..2243335	hypothetical protein
tpy:CQ11_10370	CDS	2243647..2244423	alpha/beta hydrolase
tpy:CQ11_10375	CDS	complement(2244402..2244686)	hypothetical protein
tpy:CQ11_10380	CDS	complement(2244757..2245830)	cell division protein DivIVA
tpy:CQ11_10385	CDS	2245973..2246980	hypothetical protein
tpy:CQ11_10390	CDS	2246973..2247980	hypothetical protein
tpy:CQ11_10395	CDS	2248016..2248927	thioredoxin
tpy:CQ11_10400	CDS	complement(2248940..2250601)	amylase
tpy:CQ11_10405	CDS	complement(2250624..2251628)	LacI family transcriptional regulator
tpy:CQ11_10410	CDS	2251909..2253150	ABC transporter substrate-binding protein
tpy:CQ11_10415	CDS	2253241..2254845	maltose ABC transporter permease
tpy:CQ11_10420	CDS	2254846..2255760	sugar ABC transporter permease
tpy:CQ11_10425	CDS	2256374..2257687	hypothetical protein
tpy:CQ11_10430	CDS	complement(2257796..2259979)	glycogen branching protein
tpy:CQ11_10435	CDS	complement(2260028..2261329)	aminoglycoside phosphotransferase
tpy:CQ11_10440	CDS	complement(2261326..2263044)	trehalose synthase
tpy:CQ11_10445	CDS	complement(2263084..2265219)	alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase
tpy:CQ11_10450	CDS	complement(2265279..2266367)	hypothetical protein
tpy:CQ11_10455	CDS	complement(2266364..2267005)	ABC transporter
tpy:CQ11_10460	CDS	complement(2267002..2268054)	hypothetical protein
tpy:CQ11_10465	CDS	2268172..2268921	hypothetical protein
tpy:CQ11_10470	CDS	complement(2269215..2269943)	ion transporter
tpy:CQ11_10475	CDS	complement(2270066..2272432)	glycogen phosphorylase
tpy:CQ11_10480	CDS	complement(2272533..2273621)	tryptophanyl-tRNA synthetase
tpy:CQ11_10485	CDS	complement(2273667..2275871)	glycogen debranching protein
tpy:CQ11_10490	CDS	2275992..2276855	N-acetylmuramoyl-L-alanine amidase
tpy:CQ11_10495	CDS	2276861..2278858	ATP-dependent DNA helicase
tpy:CQ11_10500	CDS	complement(2278913..2279869)	hypothetical protein
tpy:CQ11_10505	CDS	complement(2280012..2281430)	hypothetical protein
tpy:CQ11_10510	CDS	2281533..2282633	pdz/dhr/glgf protein
tpy:CQ11_10515	CDS	complement(2282782..2283336)	hypothetical protein
tpy:CQ11_10520	CDS	2283540..2286566	membrane protein
tpy:CQ11_10525	gene	2286876..2290911	pseudogene
tpy:CQ11_10530	CDS	2291040..2292098	hypothetical protein
tpy:CQ11_10535	CDS	2292417..2296769	lacto-N-biosidase
tpy:CQ11_10540	tRNA	2296992..2297065	tRNA-Met
tpy:CQ11_10545	CDS	complement(2297694..2298914)	hypothetical protein
tpy:CQ11_10550	CDS	2299188..2299550	GntR family transcriptional regulator
tpy:CQ11_10555	CDS	2299554..2300255	ABC transporter
tpy:CQ11_10560	CDS	2300255..2301067	hypothetical protein
tpy:CQ11_10565	CDS	complement(2301108..2302112)	calcium:proton antiporter
tpy:CQ11_10570	CDS	2302274..2302966	succinate dehydrogenase
tpy:CQ11_10575	CDS	2302963..2304987	sdhA; succinate dehydrogenase
tpy:CQ11_10580	CDS	2304984..2305733	succinate dehydrogenase
tpy:CQ11_10585	CDS	2305914..2307122	5,10-methylene tetrahydromethanopterin reductase
tpy:CQ11_10590	CDS	2307119..2307769	NADPH-dependent FMN reductase
tpy:CQ11_10595	CDS	complement(2307766..2308359)	dihydrofolate reductase
tpy:CQ11_10600	CDS	complement(2308359..2309156)	thymidylate synthase
tpy:CQ11_10605	CDS	complement(2309156..2309668)	hypothetical protein
tpy:CQ11_10610	CDS	2309708..2311129	histidine kinase
tpy:CQ11_10615	CDS	complement(2311227..2311469)	WhiB family transcriptional regulator
tpy:CQ11_10620	CDS	complement(2311565..2313952)	hypothetical protein
tpy:CQ11_10625	CDS	complement(2313952..2314677)	hypothetical protein
tpy:CQ11_10630	CDS	complement(2314674..2315363)	LuxR family transcriptional regulator
tpy:CQ11_10635	CDS	complement(2315356..2316570)	histidine kinase
tpy:CQ11_10640	CDS	complement(2316578..2317321)	hypothetical protein
tpy:CQ11_10645	CDS	2317377..2319956	NAD-dependent DNA ligase LigA
tpy:CQ11_10650	CDS	2320127..2320819	GntR family transcriptional regulator
tpy:CQ11_10655	CDS	2320836..2321837	ADP-ribosylglycohydrolase
tpy:CQ11_10660	CDS	2321837..2323258	allantoin permease
tpy:CQ11_10665	CDS	2323255..2324178	sugar kinase
tpy:CQ11_10670	CDS	complement(2324254..2324538)	hypothetical protein
tpy:CQ11_10675	CDS	complement(2325297..2327159)	serine metalloprotease
tpy:CQ11_10680	CDS	complement(2327507..2328766)	phospholipase
tpy:CQ11_10685	CDS	2328801..2329100	glutamyl-tRNA amidotransferase
tpy:CQ11_10690	CDS	2329100..2330599	glutamyl-tRNA amidotransferase
tpy:CQ11_10695	CDS	2330602..2332095	glutamyl-tRNA amidotransferase
tpy:CQ11_10700	CDS	2332246..2333637	malate dehydrogenase
tpy:CQ11_10705	rRNA	2334191..2335722	16S ribosomal RNA
tpy:CQ11_00005	rRNA	join(2335903..2338390,1..626)	23S ribosomal RNA
