pkt:AT984_00010	rRNA	627..739	5S ribosomal RNA
pkt:AT984_06335	CDS	complement(1422419..1427233)	NAD-glutamate dehydrogenase
pkt:AT984_06340	CDS	complement(1427255..1427446)	hypothetical protein
pkt:AT984_06345	CDS	1427495..1429126	hypothetical protein
pkt:AT984_06350	CDS	1429218..1430456	hypothetical protein
pkt:AT984_06355	CDS	1430528..1431229	transcriptional regulator
pkt:AT984_06360	CDS	complement(1431278..1431700)	hypothetical protein
pkt:AT984_06365	CDS	complement(1431845..1432993)	acyltransferase
pkt:AT984_06370	CDS	complement(1433164..1434213)	ABC transporter ATP-binding protein
pkt:AT984_06375	CDS	complement(1434264..1435148)	hypothetical protein
pkt:AT984_06380	CDS	complement(1435169..1436530)	beta-glucosidase
pkt:AT984_06385	CDS	complement(1436530..1437351)	sugar ABC transporter permease
pkt:AT984_06390	CDS	complement(1437348..1438271)	cytochrome C biogenesis protein
pkt:AT984_06395	CDS	complement(1438268..1439548)	sugar ABC transporter substrate-binding protein
pkt:AT984_06400	gene	1439719..1440763	pseudogene
pkt:AT984_06405	CDS	1440938..1443961	TonB-dependent receptor
pkt:AT984_06410	CDS	1443978..1444679	hypothetical protein
pkt:AT984_06415	CDS	1444690..1445706	cupin
pkt:AT984_06420	CDS	1445715..1447247	tryptophan halogenase
pkt:AT984_06425	CDS	1447314..1448279	hypothetical protein
pkt:AT984_06430	CDS	1448437..1451037	PTS mannose transporter subunit IIC
pkt:AT984_06435	CDS	1451056..1452891	PTS glucose transporter subunit IIBC
pkt:AT984_06440	CDS	1453041..1455605	beta-glucosidase
pkt:AT984_06445	CDS	complement(1455812..1457500)	dihydroxy-acid dehydratase
pkt:AT984_06450	CDS	1457637..1458539	LysR family transcriptional regulator
pkt:AT984_06455	CDS	1458651..1459631	hypothetical protein
pkt:AT984_06460	CDS	1459732..1460562	prolipoprotein diacylglyceryl transferase
pkt:AT984_06465	CDS	1460590..1461312	DNA polymerase III subunit epsilon
pkt:AT984_06470	tRNA	1461408..1461482	tRNA-Val
pkt:AT984_06475	tRNA	1461553..1461627	tRNA-Val
pkt:AT984_06480	CDS	1461842..1462711	esterase
pkt:AT984_06485	CDS	complement(1462746..1463375)	hypothetical protein
pkt:AT984_06490	CDS	complement(1463383..1463592)	hypothetical protein
pkt:AT984_06495	CDS	complement(1463598..1464383)	hypothetical protein
pkt:AT984_06500	CDS	complement(1464536..1465597)	tRNA 2-selenouridine synthase
pkt:AT984_06505	CDS	complement(1465619..1468243)	bifunctional uridylyltransferase/uridylyl-removing protein
pkt:AT984_06510	CDS	complement(1468248..1469063)	methionine aminopeptidase
pkt:AT984_06515	CDS	complement(1469208..1470032)	UDP pyrophosphate phosphatase
pkt:AT984_06520	gene	1470315..1470959	pseudogene
pkt:AT984_06525	CDS	1471031..1472230	hypothetical protein
pkt:AT984_06530	CDS	1472247..1475390	nodulation protein NolG
pkt:AT984_06535	CDS	1475440..1476093	protein-L-isoaspartate O-methyltransferase
pkt:AT984_06540	CDS	1476099..1476434	sulfurtransferase
pkt:AT984_06545	CDS	1476473..1477837	channel protein TolC
pkt:AT984_06550	CDS	1477909..1478691	hypothetical protein
pkt:AT984_06555	CDS	1478703..1479572	proline dioxygenase
pkt:AT984_06560	CDS	1479660..1480073	hypothetical protein
pkt:AT984_06565	CDS	complement(1480076..1480549)	AsnC family transcriptional regulator
pkt:AT984_06570	CDS	1480649..1482400	acetolactate synthase
pkt:AT984_06575	CDS	complement(1482376..1483182)	hypothetical protein
pkt:AT984_06580	CDS	complement(1483253..1483807)	elongation factor P
pkt:AT984_06585	CDS	complement(1484021..1485085)	hypothetical protein
pkt:AT984_06590	CDS	1485326..1487245	excinuclease ABC subunit C
pkt:AT984_06595	CDS	1487811..1488134	hypothetical protein
pkt:AT984_06600	CDS	1488217..1488783	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
pkt:AT984_06605	CDS	1489101..1489373	DNA-binding protein HU
pkt:AT984_06610	tRNA	1489397..1489472	tRNA-Val
pkt:AT984_06615	CDS	1489609..1491519	peptidylprolyl isomerase
pkt:AT984_06620	tRNA	1491669..1491744	tRNA-His
pkt:AT984_06625	CDS	complement(1491915..1492658)	two-component system response regulator
pkt:AT984_06630	CDS	complement(1492764..1493738)	NADPH:quinone oxidoreductase
pkt:AT984_06635	CDS	1493847..1494596	stationary phase survival protein SurE
pkt:AT984_06640	CDS	1494593..1495411	protein-L-isoaspartate O-methyltransferase
pkt:AT984_06645	CDS	1495569..1496453	peptidase
pkt:AT984_06650	gene	1496660..1497523	pseudogene
pkt:AT984_06655	CDS	1497545..1498942	23S rRNA methyltransferase
pkt:AT984_06660	CDS	complement(1499102..1499797)	hypothetical protein
pkt:AT984_06665	CDS	1499956..1500360	hypothetical protein
pkt:AT984_06670	CDS	1500632..1501792	carbamoyl-phosphate synthase small subunit
pkt:AT984_06675	CDS	1501806..1505072	carB; carbamoyl phosphate synthase large subunit
pkt:AT984_06680	CDS	1505157..1505633	transcription elongation factor GreA
pkt:AT984_06685	CDS	1505647..1506069	hypothetical protein
pkt:AT984_06690	CDS	complement(1506206..1506682)	RNA-binding protein
pkt:AT984_06695	CDS	1506703..1507383	rRNA methyltransferase
pkt:AT984_06700	CDS	1507580..1509484	cell division protein FtsH
pkt:AT984_06705	CDS	1509546..1510385	dihydropteroate synthase
pkt:AT984_06710	CDS	1510443..1511774	glmM; phosphoglucosamine mutase
pkt:AT984_06715	CDS	complement(1511916..1512416)	fasciclin
pkt:AT984_06720	CDS	1512622..1513662	phosphate ABC transporter substrate-binding protein
pkt:AT984_06725	CDS	1513797..1514810	pstC; phosphate transporter permease subunit PstC
pkt:AT984_06730	CDS	1514807..1515709	hypothetical protein
pkt:AT984_06735	CDS	1515725..1516510	phosphate ABC transporter ATP-binding protein
pkt:AT984_06740	CDS	1516595..1517302	transcriptional regulator PhoU
pkt:AT984_06745	CDS	1517443..1518144	two-component system response regulator
pkt:AT984_06750	CDS	1518242..1519549	PAS domain-containing sensor histidine kinase
pkt:AT984_06755	CDS	complement(1519588..1521237)	hypothetical protein
pkt:AT984_06760	CDS	complement(1521388..1521645)	rpmE2; 50S ribosomal protein L31 type B
pkt:AT984_06765	CDS	complement(1521795..1523060)	rho; transcription termination factor Rho
pkt:AT984_06770	CDS	complement(1523306..1523635)	thioredoxin
pkt:AT984_06775	tRNA	1523865..1523941	tRNA-Pro
pkt:AT984_06780	CDS	1524171..1526159	hypothetical protein
pkt:AT984_06785	tRNA	1526255..1526331	tRNA-Arg
pkt:AT984_06790	CDS	complement(1526448..1527149)	glutathione S-transferase
pkt:AT984_06795	CDS	1527212..1527955	hypothetical protein
pkt:AT984_06800	CDS	complement(1528027..1529100)	aminoglycoside phosphotransferase
pkt:AT984_06805	CDS	complement(1529109..1529813)	Crp/Fnr family transcriptional regulator
pkt:AT984_06810	CDS	1530071..1532065	hypothetical protein
pkt:AT984_06815	CDS	complement(1532128..1533315)	aminotransferase
pkt:AT984_06820	CDS	complement(1533329..1534273)	transcriptional regulator
pkt:AT984_06825	CDS	complement(1534270..1534668)	hypothetical protein
pkt:AT984_06830	CDS	complement(1534674..1535819)	LPS export ABC transporter permease LptG
pkt:AT984_06835	CDS	complement(1535816..1536916)	LPS export ABC transporter permease LptF
pkt:AT984_06840	CDS	1536945..1538414	aminopeptidase
pkt:AT984_06845	CDS	1538434..1538856	hypothetical protein
pkt:AT984_06850	CDS	1538853..1539599	hypothetical protein
pkt:AT984_06855	CDS	1539980..1541122	branched chain amino acid ABC transporter substrate-binding protein
pkt:AT984_06860	CDS	complement(1541262..1542584)	3-deoxy-D-manno-octulosonic acid transferase
pkt:AT984_06865	CDS	complement(1542581..1543969)	phosphoglucomutase
pkt:AT984_06870	gene	1544135..1545262	pseudogene
pkt:AT984_06875	CDS	1545322..1546104	LytTR family transcriptional regulator
pkt:AT984_06880	CDS	1546177..1547154	hypothetical protein
pkt:AT984_06885	CDS	complement(1547250..1548041)	hypothetical protein
pkt:AT984_06890	CDS	1548274..1549224	integrase
pkt:AT984_06895	CDS	complement(1549271..1550128)	hypothetical protein
pkt:AT984_06900	CDS	1550380..1551255	hypothetical protein
pkt:AT984_06905	CDS	1551248..1551952	ABC transporter permease
pkt:AT984_06910	CDS	1551949..1552653	ABC transporter ATP-binding protein
pkt:AT984_06915	CDS	1552674..1553495	tungsten ABC transporter substrate-binding protein
pkt:AT984_06920	CDS	complement(1553538..1555418)	hypothetical protein
pkt:AT984_06925	CDS	complement(1555415..1555969)	hypothetical protein
pkt:AT984_06930	CDS	complement(1555966..1556811)	hypothetical protein
pkt:AT984_06935	CDS	complement(1556808..1557551)	hypothetical protein
pkt:AT984_06940	CDS	complement(1557581..1558615)	hypothetical protein
pkt:AT984_06945	CDS	complement(1558667..1562671)	hypothetical protein
pkt:AT984_06950	CDS	complement(1562679..1563074)	hypothetical protein
pkt:AT984_06955	CDS	complement(1563112..1563993)	hypothetical protein
pkt:AT984_06960	CDS	complement(1563980..1564576)	hypothetical protein
pkt:AT984_06965	CDS	complement(1564576..1565034)	hypothetical protein
pkt:AT984_06970	CDS	complement(1565069..1565461)	hypothetical protein
pkt:AT984_06975	CDS	complement(1565728..1566972)	MSHA biogenesis protein MshG
pkt:AT984_06980	CDS	complement(1566972..1568714)	MSHA biogenesis protein MshE
pkt:AT984_06985	CDS	complement(1568743..1570665)	pilus assembly protein PilB
pkt:AT984_06990	CDS	complement(1571396..1571590)	hypothetical protein
pkt:AT984_06995	CDS	complement(1571587..1572147)	RNA polymerase subunit sigma
pkt:AT984_07000	CDS	1572293..1572583	hypothetical protein
pkt:AT984_07005	CDS	1572591..1573481	hypothetical protein
pkt:AT984_07010	CDS	1573478..1574269	hypothetical protein
pkt:AT984_07015	CDS	1574376..1574780	hypothetical protein
pkt:AT984_07020	CDS	complement(1574807..1575745)	hypothetical protein
pkt:AT984_07025	CDS	complement(1575765..1576211)	protein TolR
pkt:AT984_07030	CDS	complement(1576215..1576916)	protein TolQ
pkt:AT984_07035	CDS	complement(1576913..1577347)	hypothetical protein
pkt:AT984_07040	CDS	complement(1577344..1578537)	aminotransferase
pkt:AT984_07045	CDS	1578628..1580181	hypothetical protein
pkt:AT984_07050	CDS	complement(1580202..1580795)	hypothetical protein
pkt:AT984_07055	CDS	1581181..1581438	hypothetical protein
pkt:AT984_07060	CDS	1581518..1581841	transposase
pkt:AT984_07065	CDS	1581838..1582713	integrase
pkt:AT984_07070	CDS	complement(1583334..1583546)	hypothetical protein
pkt:AT984_07075	CDS	complement(1583712..1584539)	transposase
pkt:AT984_07080	CDS	complement(1584572..1584838)	transposase
pkt:AT984_07085	CDS	complement(1584904..1586004)	hypothetical protein
pkt:AT984_07090	CDS	complement(1586188..1586544)	hypothetical protein
pkt:AT984_07095	CDS	complement(1587004..1587510)	N utilization substance protein B
pkt:AT984_07100	CDS	complement(1587507..1587977)	6,7-dimethyl-8-ribityllumazine synthase
pkt:AT984_07105	CDS	complement(1588006..1589142)	3,4-dihydroxy-2-butanone 4-phosphate synthase
pkt:AT984_07110	CDS	complement(1589192..1590349)	diaminohydroxyphosphoribosylaminopyrimidine deaminase
pkt:AT984_07115	CDS	complement(1590354..1591379)	exonuclease
pkt:AT984_07120	CDS	complement(1591573..1592796)	hypothetical protein
pkt:AT984_07125	CDS	complement(1592798..1594042)	hypothetical protein
pkt:AT984_07130	CDS	complement(1594120..1594854)	hypothetical protein
pkt:AT984_07135	CDS	complement(1594848..1595429)	hypothetical protein
pkt:AT984_07140	CDS	complement(1595414..1595869)	hypothetical protein
pkt:AT984_07145	CDS	complement(1596110..1596646)	hypothetical protein
pkt:AT984_07150	CDS	complement(1596830..1597273)	NrdR family transcriptional regulator
pkt:AT984_07155	CDS	complement(1597295..1598545)	glyA; serine hydroxymethyltransferase
pkt:AT984_07160	CDS	complement(1598786..1599649)	lytic transglycosylase
pkt:AT984_07165	CDS	1599914..1601485	3-octaprenyl-4-hydroxybenzoate decarboxylase
pkt:AT984_07170	CDS	complement(1601668..1602483)	hypothetical protein
pkt:AT984_07175	CDS	1602700..1606644	hypothetical protein
pkt:AT984_07180	CDS	1606675..1607220	peptide methionine sulfoxide reductase
pkt:AT984_07185	CDS	1607244..1607903	hypothetical protein
pkt:AT984_07190	CDS	1607900..1609207	multidrug ABC transporter substrate-binding protein
pkt:AT984_07195	CDS	1609267..1609809	hypothetical protein
pkt:AT984_07200	CDS	1609817..1610218	hypothetical protein
pkt:AT984_07205	CDS	1610451..1612436	hypothetical protein
pkt:AT984_07210	CDS	complement(1612498..1613133)	pyridoxamine 5'-phosphate oxidase
pkt:AT984_07215	CDS	1613353..1614033	hypothetical protein
pkt:AT984_07220	CDS	complement(1614059..1614622)	hypothetical protein
pkt:AT984_07225	CDS	1615004..1615927	hypothetical protein
pkt:AT984_07230	CDS	complement(1615958..1617301)	Fis family transcriptional regulator
pkt:AT984_07235	CDS	complement(1617294..1619201)	hypothetical protein
pkt:AT984_07240	CDS	1619515..1620438	ABC transporter permease
pkt:AT984_07245	CDS	1620462..1621547	ABC transporter ATP-binding protein
pkt:AT984_07250	CDS	1621544..1622341	ABC transporter ATP-binding protein
pkt:AT984_07255	CDS	1622356..1623078	ABC transporter ATP-binding protein
pkt:AT984_07260	CDS	complement(1623176..1623745)	hypothetical protein
pkt:AT984_07265	CDS	complement(1623777..1626146)	hypothetical protein
pkt:AT984_07270	CDS	1626411..1628225	phosphogluconate dehydratase
pkt:AT984_07275	CDS	1628282..1628908	keto-deoxy-phosphogluconate aldolase
pkt:AT984_07280	CDS	complement(1628942..1629487)	aromatic compound catabolic protein
pkt:AT984_07285	CDS	complement(1629546..1629947)	hypothetical protein
pkt:AT984_07290	CDS	complement(1630033..1630674)	disulfide bond formation protein DsbA
pkt:AT984_07295	CDS	complement(1630671..1631657)	succinylglutamate desuccinylase
pkt:AT984_07300	CDS	complement(1631715..1632626)	hypothetical protein
pkt:AT984_07305	CDS	1632808..1633251	YeeE/YedE
pkt:AT984_07310	CDS	1633265..1633684	hypothetical protein
pkt:AT984_07315	CDS	1633693..1634778	MBL fold metallo-hydrolase
pkt:AT984_07320	CDS	1634953..1636389	hypothetical protein
pkt:AT984_07325	CDS	1636386..1640684	hypothetical protein
pkt:AT984_07330	CDS	complement(1640744..1642246)	aldehyde dehydrogenase
pkt:AT984_07335	CDS	complement(1642275..1643690)	hypothetical protein
pkt:AT984_07340	CDS	complement(1643773..1644654)	spermidine/putrescine ABC transporter permease
pkt:AT984_07345	CDS	complement(1644651..1645598)	spermidine/putrescine ABC transporter permease
pkt:AT984_07350	CDS	complement(1645595..1646698)	transporter
pkt:AT984_07355	CDS	complement(1646742..1647857)	spermidine/putrescine ABC transporter substrate-binding protein
pkt:AT984_07360	CDS	complement(1648061..1649440)	aminotransferase
pkt:AT984_07365	CDS	complement(1649505..1650872)	glutamine synthetase
pkt:AT984_07370	CDS	complement(1650944..1651732)	gamma-glutamyl-gamma-aminobutyrate hydrolase
pkt:AT984_07375	CDS	complement(1651744..1653057)	FAD-dependent oxidoreductase
pkt:AT984_07380	CDS	complement(1653098..1654405)	omega amino acid--pyruvate aminotransferase
pkt:AT984_07385	CDS	1654544..1655014	AsnC family transcriptional regulator
pkt:AT984_07390	CDS	complement(1655073..1655984)	hypothetical protein
pkt:AT984_07395	CDS	complement(1656047..1656850)	hypothetical protein
pkt:AT984_07400	CDS	1656961..1657485	gamma carbonic anhydrase family protein
pkt:AT984_07405	CDS	1657554..1658510	Hsp33 chaperonin
pkt:AT984_07410	CDS	complement(1658562..1659287)	ATPase
pkt:AT984_07415	CDS	complement(1659284..1659928)	transporter
pkt:AT984_07420	CDS	complement(1659959..1660228)	septation ring formation regulator EzrA
pkt:AT984_07425	CDS	complement(1660346..1661632)	eno; enolase
pkt:AT984_07430	CDS	complement(1661744..1662034)	hypothetical protein
pkt:AT984_07435	CDS	complement(1662050..1663696)	pyrG; CTP synthetase
pkt:AT984_07440	CDS	complement(1663786..1664625)	alpha/beta hydrolase
pkt:AT984_07445	CDS	complement(1664622..1667207)	DNA mismatch repair protein MutS
pkt:AT984_07450	CDS	complement(1667317..1668282)	inositol monophosphatase
pkt:AT984_07455	CDS	1668457..1669203	rRNA methyltransferase
pkt:AT984_07460	CDS	1669370..1670146	serine acetyltransferase
pkt:AT984_07465	CDS	complement(1670220..1670834)	hypothetical protein
pkt:AT984_07470	gene	complement(1670896..1671402)	pseudogene
pkt:AT984_07475	CDS	1671570..1672991	pmbA; metalloprotease PmbA
pkt:AT984_07480	CDS	1673098..1674180	ABC transporter substrate-binding protein
pkt:AT984_07485	CDS	complement(1674255..1675790)	C4-dicarboxylate ABC transporter
pkt:AT984_07490	CDS	complement(1675793..1676401)	sugar transporter
pkt:AT984_07495	CDS	complement(1676535..1676876)	hypothetical protein
pkt:AT984_07500	CDS	complement(1676902..1677348)	glutamyl-tRNA amidotransferase
pkt:AT984_07505	CDS	complement(1677496..1677708)	30S ribosomal protein S21
pkt:AT984_07510	CDS	complement(1677903..1679102)	hypothetical protein
pkt:AT984_07515	CDS	1679481..1680503	hypothetical protein
pkt:AT984_07520	CDS	complement(1680511..1681332)	hypothetical protein
pkt:AT984_07525	CDS	complement(1681320..1681775)	EVE domain-containing protein
pkt:AT984_07530	CDS	complement(1682034..1682357)	cell division protein ZapA
pkt:AT984_07535	CDS	complement(1682354..1682572)	hypothetical protein
pkt:AT984_07540	CDS	complement(1682589..1683233)	endonuclease III
pkt:AT984_07545	CDS	1683329..1684774	hypothetical protein
pkt:AT984_07550	CDS	1684864..1685808	hypothetical protein
pkt:AT984_07555	CDS	1685805..1686188	hypothetical protein
pkt:AT984_07560	CDS	1686185..1686991	hypothetical protein
pkt:AT984_07565	CDS	complement(1687022..1687681)	ferredoxin
pkt:AT984_07570	CDS	complement(1687741..1689054)	esterase
pkt:AT984_07575	CDS	complement(1689298..1690500)	aromatic amino acid aminotransferase
pkt:AT984_07580	CDS	1690716..1692791	excinuclease ABC subunit B
pkt:AT984_07585	CDS	1693027..1693560	DNA-binding protein
pkt:AT984_07590	CDS	1693590..1694804	cysteine desulfurase
pkt:AT984_07595	CDS	1694896..1695291	scaffolding protein
pkt:AT984_07600	CDS	1695334..1695657	iscA; iron-sulfur cluster assembly protein IscA
pkt:AT984_07605	CDS	1695739..1696257	hscB; co-chaperone HscB
pkt:AT984_07610	CDS	1696262..1698118	molecular chaperone HscA
pkt:AT984_07615	CDS	1698136..1698474	2Fe-2S ferredoxin
pkt:AT984_07620	CDS	1698487..1699542	tRNA threonylcarbamoyl adenosine modification protein TsaD
pkt:AT984_07625	CDS	complement(1699535..1700014)	hypothetical protein
pkt:AT984_07630	CDS	1700437..1700706	30S ribosomal protein S15
pkt:AT984_07635	CDS	1700990..1703128	polyribonucleotide nucleotidyltransferase
pkt:AT984_07640	CDS	1703150..1704145	NAD(P)H-quinone oxidoreductase
pkt:AT984_07645	CDS	1704155..1704895	triose-phosphate isomerase
pkt:AT984_07650	CDS	1704942..1705313	preprotein translocase subunit SecG
pkt:AT984_07655	tRNA	1705514..1705598	tRNA-Leu
pkt:AT984_07660	CDS	1705815..1706174	NADH-quinone oxidoreductase subunit A
