chg:AXF12_00010	ncRNA	complement(404..502)	ffs; signal recognition particle sRNA small type
chg:AXF12_09990	CDS	complement(2232869..2235109)	TonB-dependent receptor
chg:AXF12_09995	CDS	complement(2235215..2235607)	hypothetical protein
chg:AXF12_10000	CDS	2236095..2237186	ATPase
chg:AXF12_10005	CDS	complement(2237188..2238234)	hypothetical protein
chg:AXF12_10010	CDS	complement(2238247..2241489)	DNA helicase UvrD
chg:AXF12_10015	CDS	2241885..2242679	hypothetical protein
chg:AXF12_10020	CDS	2243042..2243326	hypothetical protein
chg:AXF12_10025	CDS	2243316..2243702	toxin
chg:AXF12_10030	CDS	2243750..2245336	aldehyde dehydrogenase
chg:AXF12_10035	CDS	complement(2245436..2246428)	glycosyl transferase family 2
chg:AXF12_10040	CDS	2246532..2247395	RNA polymerase subunit sigma
chg:AXF12_10045	CDS	2247517..2249208	single-stranded-DNA-specific exonuclease RecJ
chg:AXF12_10050	CDS	complement(2249205..2250965)	antibiotic ABC transporter ATP-binding protein
chg:AXF12_10055	CDS	2251317..2253308	excinuclease ABC subunit B
chg:AXF12_10060	CDS	2253313..2255046	1-deoxy-D-xylulose-5-phosphate synthase
chg:AXF12_10065	CDS	2255143..2256135	hypothetical protein
chg:AXF12_10070	CDS	2256135..2256722	thymidine kinase
chg:AXF12_10075	CDS	2256844..2258565	ABC transporter
chg:AXF12_10080	CDS	2258643..2260370	ABC transporter
chg:AXF12_10085	CDS	2260431..2261051	hypothetical protein
chg:AXF12_10090	CDS	2261143..2261922	hypothetical protein
chg:AXF12_10095	CDS	2261923..2263050	DNA polymerase III subunit delta'
chg:AXF12_10100	CDS	2263056..2264390	adenylosuccinate lyase
chg:AXF12_10105	tmRNA	complement(2264447..2264852)	ssrA; transfer-messenger RNA
chg:AXF12_10110	CDS	2265222..2266628	cell division protein FtsA
chg:AXF12_10115	CDS	2266667..2268448	cell division protein FtsZ
chg:AXF12_10120	CDS	complement(2268549..2269844)	tyrosine--tRNA ligase
chg:AXF12_10125	CDS	2270381..2271202	universal stress protein UspA
chg:AXF12_10130	CDS	2271405..2273264	peptidase M1
chg:AXF12_10135	CDS	2273463..2273930	ribosome assembly cofactor RimP
chg:AXF12_10140	CDS	2273942..2275177	transcription termination/antitermination protein NusA
chg:AXF12_10145	CDS	2275393..2278134	translation initiation factor IF-2
chg:AXF12_10150	CDS	complement(2278261..2278521)	50S ribosomal protein L27
chg:AXF12_10155	CDS	complement(2278547..2279182)	50S ribosomal protein L21
chg:AXF12_10160	CDS	complement(2279407..2280507)	cytochrome D oxidase subunit I
chg:AXF12_10165	CDS	complement(2280511..2281863)	cytochrome D ubiquinol oxidase subunit I
chg:AXF12_10170	CDS	2282333..2283070	hypothetical protein
chg:AXF12_10175	CDS	2283294..2284388	DNA processing protein DprA
chg:AXF12_10180	CDS	2284414..2285490	DNA polymerase IV
chg:AXF12_10185	CDS	2285987..2287291	hypothetical protein
chg:AXF12_10190	CDS	2287468..2288544	hypothetical protein
chg:AXF12_10195	CDS	complement(2288715..2290514)	chloride channel protein
chg:AXF12_10200	gene	2292987..2294189	pseudogene
chg:AXF12_10205	gene	2294202..2295053	pseudogene
chg:AXF12_10210	CDS	2295618..2295857	hypothetical protein
chg:AXF12_10215	CDS	2296016..2296768	hypothetical protein
chg:AXF12_10220	CDS	2296765..2297178	hypothetical protein
chg:AXF12_10225	CDS	2297346..2297717	hypothetical protein
chg:AXF12_10230	CDS	2298086..2298976	transposase
chg:AXF12_10235	CDS	2299063..2299572	hypothetical protein
chg:AXF12_10240	CDS	2300420..2303518	SusC/RagA family TonB-linked outer membrane protein
chg:AXF12_10245	CDS	2303528..2305336	starch-binding protein
chg:AXF12_10250	CDS	2305355..2306452	hypothetical protein
chg:AXF12_10255	CDS	2306786..2310859	hybrid sensor histidine kinase/response regulator
chg:AXF12_10260	CDS	2310886..2312469	glycoside hydrolase
chg:AXF12_10265	CDS	2312958..2314388	hypothetical protein
chg:AXF12_10270	CDS	2314573..2315040	damage-inducible protein DinB
chg:AXF12_10275	CDS	2315037..2316083	thiamine-monophosphate kinase
chg:AXF12_10280	CDS	2316144..2317559	alkaline phosphatase
chg:AXF12_10285	CDS	2317645..2318133	hypothetical protein
chg:AXF12_10290	CDS	2318586..2319287	hypothetical protein
chg:AXF12_10295	CDS	2319334..2319765	hypothetical protein
chg:AXF12_10300	CDS	2319816..2320142	hypothetical protein
chg:AXF12_10305	CDS	2320146..2320598	D-tyrosyl-tRNA(Tyr) deacylase
chg:AXF12_10310	CDS	complement(2320690..2321130)	hypothetical protein
chg:AXF12_10315	CDS	complement(2321209..2322642)	hypothetical protein
chg:AXF12_10320	CDS	complement(2322651..2325800)	hypothetical protein
chg:AXF12_10325	CDS	2326361..2327308	phosphoribosylaminoimidazolesuccinocarboxamide synthase
chg:AXF12_10330	CDS	2327313..2328458	7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase
chg:AXF12_10335	CDS	complement(2328470..2331226)	ABC-ATPase UvrA
chg:AXF12_10340	CDS	complement(2331373..2332338)	glycosidase
chg:AXF12_10345	CDS	complement(2332412..2333536)	transcriptional regulator
chg:AXF12_10350	CDS	complement(2333671..2334129)	hypothetical protein
chg:AXF12_10355	CDS	complement(2334138..2335757)	hypothetical protein
chg:AXF12_10360	CDS	complement(2335833..2336393)	hypothetical protein
chg:AXF12_10365	CDS	2336859..2337404	hypothetical protein
chg:AXF12_10370	CDS	2337407..2337859	D-tyrosyl-tRNA(Tyr) deacylase
chg:AXF12_10375	CDS	2337959..2338300	hypothetical protein
chg:AXF12_10380	CDS	2338297..2338746	hypothetical protein
chg:AXF12_10385	CDS	2338749..2339336	hypothetical protein
chg:AXF12_10390	CDS	2339360..2341264	hypothetical protein
chg:AXF12_10395	CDS	2341277..2342485	3-deoxy-D-manno-octulosonic acid transferase
chg:AXF12_10400	CDS	2342492..2343445	hypothetical protein
chg:AXF12_10405	CDS	2343600..2344883	gltA; type II citrate synthase
chg:AXF12_10410	CDS	2345060..2345830	5'/3'-nucleotidase SurE
chg:AXF12_10415	CDS	2345827..2346114	hypothetical protein
chg:AXF12_10420	CDS	2346194..2348137	sulfatase
chg:AXF12_10425	CDS	complement(2348223..2349167)	thioredoxin reductase
chg:AXF12_10430	CDS	2349604..2350305	hypothetical protein
chg:AXF12_10435	CDS	2350307..2351035	UDP pyrophosphate synthase
chg:AXF12_10440	CDS	2351040..2353580	outer membrane protein assembly factor BamA
chg:AXF12_10445	CDS	2353638..2354714	molecular chaperone Skp
chg:AXF12_10450	CDS	2354741..2355274	hypothetical protein
chg:AXF12_10455	CDS	2355365..2356177	glutamate racemase
chg:AXF12_10460	CDS	complement(2356309..2357274)	murein transglycosylase
chg:AXF12_10465	CDS	2357817..2358869	ansB; L-asparaginase
chg:AXF12_10470	CDS	2358979..2360115	porin
chg:AXF12_10475	CDS	2360168..2360983	AraC family transcriptional regulator
chg:AXF12_10480	CDS	2361091..2361744	hypothetical protein
chg:AXF12_10485	CDS	2361893..2363656	recombinase RecQ
chg:AXF12_10490	CDS	2363818..2365422	apolipoprotein N-acyltransferase
chg:AXF12_10495	CDS	2365455..2366912	phenylalanine ammonia-lyase
chg:AXF12_10500	CDS	2366890..2368566	formate--tetrahydrofolate ligase
chg:AXF12_10505	CDS	complement(2369367..2370689)	C4-dicarboxylate ABC transporter
chg:AXF12_10510	CDS	2370946..2374833	hybrid sensor histidine kinase/response regulator
chg:AXF12_10515	CDS	2375121..2378216	SusC/RagA family TonB-linked outer membrane protein
chg:AXF12_10520	CDS	2378229..2379887	carbohydrate-binding protein SusD
chg:AXF12_10525	CDS	2379899..2381395	toxin-antitoxin system protein
chg:AXF12_10530	CDS	2381708..2383105	hypothetical protein
chg:AXF12_10535	CDS	2383166..2385499	beta-N-acetylhexosaminidase
chg:AXF12_10540	CDS	2386035..2386469	hypothetical protein
chg:AXF12_10545	CDS	2386580..2387584	hypothetical protein
chg:AXF12_10550	CDS	2387581..2388654	hypothetical protein
chg:AXF12_10555	CDS	2388797..2389783	hypothetical protein
chg:AXF12_10560	CDS	2389838..2390989	hypothetical protein
chg:AXF12_10565	CDS	2391106..2392032	aspartate carbamoyltransferase
chg:AXF12_10570	CDS	2392194..2394140	threonine--tRNA ligase
chg:AXF12_10575	CDS	2394275..2394745	translation initiation factor IF-3
chg:AXF12_10580	CDS	2394802..2394999	50S ribosomal protein L35
chg:AXF12_10585	CDS	2395113..2395457	50S ribosomal protein L20
chg:AXF12_10590	CDS	complement(2395536..2396258)	tRNA (adenine-N(6)-)-methyltransferase
chg:AXF12_10595	CDS	complement(2396245..2396691)	Rrf2 family transcriptional regulator
chg:AXF12_10600	CDS	complement(2396697..2397839)	acyl-CoA dehydrogenase
chg:AXF12_10605	CDS	complement(2397903..2398769)	DNA-binding protein
chg:AXF12_10610	CDS	2398911..2399618	methyltransferase
chg:AXF12_10615	CDS	complement(2399615..2400247)	7-carboxy-7-deazaguanine synthase
chg:AXF12_10620	CDS	complement(2400262..2400681)	hypothetical protein
chg:AXF12_10625	CDS	complement(2400723..2402201)	adhesin
chg:AXF12_10630	CDS	complement(2402198..2403157)	oxidoreductase
chg:AXF12_10635	CDS	complement(2403236..2404204)	tryptophan--tRNA ligase
chg:AXF12_10640	CDS	complement(2404368..2404880)	hypothetical protein
chg:AXF12_10645	CDS	complement(2405181..2406662)	glycosyl transferase family 2
chg:AXF12_10650	CDS	2406999..2407514	Fe-S cluster assembly protein HesB
chg:AXF12_10655	CDS	2407527..2407904	virulence protein
chg:AXF12_10660	CDS	2407997..2409094	NGG1p interacting factor NIF3
chg:AXF12_10665	CDS	2409097..2409882	hypothetical protein
chg:AXF12_10670	CDS	2409925..2411544	OstA-like protein
chg:AXF12_10675	CDS	2411626..2412501	hypothetical protein
chg:AXF12_10680	CDS	2412781..2415153	collagen-binding protein
chg:AXF12_10685	CDS	2415156..2416022	hypothetical protein
chg:AXF12_10690	CDS	complement(2416027..2416998)	hypothetical protein
chg:AXF12_10695	CDS	complement(2417095..2418117)	tRNA threonylcarbamoyl adenosine modification protein TsaD
chg:AXF12_10700	CDS	2418881..2420074	sucC; succinate--CoA ligase subunit beta
chg:AXF12_10705	CDS	complement(2420167..2421579)	hypothetical protein
chg:AXF12_10710	CDS	complement(2421710..2423752)	hypothetical protein
chg:AXF12_10715	CDS	complement(2423919..2424557)	hypothetical protein
chg:AXF12_10720	CDS	2424827..2426935	TonB-dependent receptor
chg:AXF12_10725	CDS	2427109..2427855	L,D-transpeptidase catalytic domain protein
chg:AXF12_10730	CDS	2427986..2428282	thioredoxin
chg:AXF12_10735	CDS	complement(2428279..2429352)	hypothetical protein
chg:AXF12_10740	CDS	complement(2429324..2429875)	hypothetical protein
chg:AXF12_10745	CDS	complement(2429953..2430663)	PorT protein
chg:AXF12_10750	CDS	complement(2430693..2431427)	bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase
chg:AXF12_10755	CDS	complement(2431782..2433122)	hypothetical protein
chg:AXF12_10760	CDS	complement(2433365..2433688)	transcriptional regulator
chg:AXF12_10765	CDS	complement(2433767..2434396)	hypothetical protein
chg:AXF12_10770	CDS	complement(2434544..2434879)	ferredoxin
chg:AXF12_10775	CDS	complement(2434882..2435934)	ferredoxin--NADP(+) reductase
chg:AXF12_10780	gene	complement(2436263..2440313)	pseudogene
chg:AXF12_10785	CDS	complement(2440440..2443538)	beta-galactosidase
chg:AXF12_10790	CDS	complement(2443570..2445525)	hypothetical protein
chg:AXF12_10795	gene	complement(2445620..2446411)	pseudogene
chg:AXF12_10800	CDS	complement(2446456..2446794)	hypothetical protein
chg:AXF12_10805	CDS	2447296..2448147	AraC family transcriptional regulator
chg:AXF12_10810	CDS	2448171..2448653	hypothetical protein
chg:AXF12_10815	gene	complement(2448825..2449740)	pseudogene
chg:AXF12_10820	CDS	complement(2449875..2450831)	transcriptional regulator
chg:AXF12_10825	CDS	2451135..2453459	energy transducer TonB
chg:AXF12_10830	CDS	2453660..2454331	hypothetical protein
chg:AXF12_10835	CDS	2454343..2455566	hypothetical protein
chg:AXF12_10840	CDS	2455626..2456429	methyltransferase
chg:AXF12_10845	CDS	complement(2456561..2457358)	transposase
chg:AXF12_10850	CDS	2457460..2458245	hypothetical protein
chg:AXF12_10855	gene	complement(2458278..2459193)	pseudogene
chg:AXF12_10860	CDS	2459751..2460803	glycosyl hydrolase family 5
chg:AXF12_10865	CDS	2460884..2462062	glycosyl hydrolase family 5
chg:AXF12_10870	CDS	complement(2462134..2462736)	peptidase M15
chg:AXF12_10875	CDS	2462813..2463268	SsrA-binding protein
chg:AXF12_10880	CDS	2463404..2464240	iron hydrogenase small subunit
chg:AXF12_10885	CDS	2464941..2465753	hypothetical protein
chg:AXF12_10890	CDS	2465762..2466589	hypothetical protein
chg:AXF12_10895	CDS	2466700..2467353	hypothetical protein
chg:AXF12_10900	CDS	2467479..2468666	threonine dehydratase
chg:AXF12_10905	CDS	complement(2468795..2470384)	glycoside hydrolase xylanase
chg:AXF12_10910	CDS	complement(2470480..2472771)	hypothetical protein
chg:AXF12_10915	CDS	complement(2472830..2474218)	hypothetical protein
chg:AXF12_10920	CDS	2474451..2475266	hypothetical protein
chg:AXF12_10925	CDS	2476024..2476806	hypothetical protein
chg:AXF12_10930	gene	complement(2477080..2479089)	pseudogene
chg:AXF12_10935	CDS	complement(2479230..2480981)	carbohydrate-binding protein SusD
chg:AXF12_10940	gene	complement(2481010..2484304)	pseudogene
chg:AXF12_10945	CDS	complement(2484563..2485507)	2-nitropropane dioxygenase
chg:AXF12_10950	gene	2485787..2486341	pseudogene
chg:AXF12_10955	CDS	2486898..2488394	histidine ammonia-lyase
chg:AXF12_10960	CDS	2488391..2489125	beta-ketoacyl-ACP reductase
chg:AXF12_10965	CDS	complement(2489189..2490736)	NAD metabolism ATPase/kinase
chg:AXF12_10970	CDS	complement(2490817..2491293)	hypothetical protein
chg:AXF12_10975	CDS	complement(2491293..2491832)	AAA family ATPase
chg:AXF12_10980	CDS	complement(2491832..2492515)	nicotinamide mononucleotide transporter
chg:AXF12_10985	CDS	complement(2492539..2492799)	hypothetical protein
chg:AXF12_10990	CDS	complement(2493020..2494024)	peptidase
chg:AXF12_10995	CDS	complement(2494194..2496209)	peptidase M3
chg:AXF12_11000	CDS	complement(2496336..2497037)	hypothetical protein
chg:AXF12_11005	CDS	complement(2497068..2497781)	hypothetical protein
chg:AXF12_11010	CDS	complement(2497787..2498632)	hypothetical protein
chg:AXF12_11015	CDS	complement(2498601..2499275)	hypothetical protein
chg:AXF12_11020	CDS	2499400..2500833	ATP-dependent endonuclease
chg:AXF12_11025	CDS	2500881..2501123	hypothetical protein
chg:AXF12_11030	CDS	complement(2501231..2501764)	autotransporter
chg:AXF12_11035	CDS	2501947..2503233	AAA family ATPase
chg:AXF12_11040	CDS	complement(2503306..2504073)	hypothetical protein
chg:AXF12_11045	CDS	complement(2504885..2505226)	hypothetical protein
chg:AXF12_11050	CDS	complement(2505434..2507296)	penicillin-binding protein
chg:AXF12_11055	CDS	complement(2507293..2507799)	rod shape-determining protein MreD
chg:AXF12_11060	CDS	complement(2507796..2508629)	rod shape-determining protein MreC
chg:AXF12_11065	CDS	complement(2508744..2509772)	rod shape-determining protein MreB
chg:AXF12_11070	gene	complement(2510119..2511617)	nrfA; pseudogene
chg:AXF12_11075	CDS	complement(2511617..2512270)	cytochrome C nitrite reductase
chg:AXF12_11080	CDS	2512645..2515368	organic solvent tolerance protein OstA
chg:AXF12_11085	CDS	complement(2515480..2516061)	hypothetical protein
chg:AXF12_11090	CDS	complement(2516084..2516704)	recombination protein RecR
chg:AXF12_11095	CDS	complement(2516863..2518227)	coproporphyrinogen III oxidase
chg:AXF12_11100	CDS	complement(2518446..2521052)	hypothetical protein
chg:AXF12_11105	CDS	complement(2521368..2523359)	DNA ligase (NAD(+)) LigA
chg:AXF12_11110	CDS	2523787..2525157	hypothetical protein
chg:AXF12_11115	rRNA	complement(2525458..2525565)	rrf; 5S ribosomal RNA
chg:AXF12_11120	rRNA	complement(2525678..2528523)	23S ribosomal RNA
chg:AXF12_11125	tRNA	complement(2528687..2528763)	tRNA-Ala
chg:AXF12_11130	tRNA	complement(2528909..2528985)	tRNA-Ile
chg:AXF12_11135	rRNA	complement(2529169..2530694)	16S ribosomal RNA
chg:AXF12_11140	CDS	complement(2530965..2532212)	2-oxoglutarate dehydrogenase
chg:AXF12_11145	CDS	complement(2532302..2533207)	hypothetical protein
chg:AXF12_11150	CDS	complement(2533238..2534131)	hypothetical protein
chg:AXF12_11155	CDS	complement(2534164..2537013)	2-oxoglutarate dehydrogenase subunit E1
chg:AXF12_11160	CDS	complement(2537333..2553289)	hypothetical protein
chg:AXF12_11165	CDS	2554055..2556901	glycine dehydrogenase (aminomethyl-transferring)
chg:AXF12_11170	CDS	complement(2557260..2558921)	alginate O-acetyltransferase
chg:AXF12_11175	CDS	complement(2558932..2560383)	lipase
chg:AXF12_11180	CDS	complement(2560385..2562304)	glycosyl transferase family 2
chg:AXF12_11185	CDS	complement(2562618..2563265)	hypothetical protein
chg:AXF12_11190	CDS	complement(2563325..2564608)	flavoprotein
chg:AXF12_11195	CDS	complement(2564741..2565178)	hypothetical protein
chg:AXF12_11200	CDS	complement(2565180..2565623)	hypothetical protein
chg:AXF12_11205	CDS	complement(2565687..2566016)	hypothetical protein
chg:AXF12_11210	CDS	complement(2566336..2566581)	hypothetical protein
chg:AXF12_11215	CDS	complement(2566679..2567080)	hypothetical protein
chg:AXF12_11220	CDS	complement(2567088..2567531)	hypothetical protein
chg:AXF12_11225	CDS	complement(2567596..2568255)	lipoprotein ABC transporter ATP-binding protein
chg:AXF12_11230	CDS	complement(2568368..2568916)	DNA mismatch repair protein MutS
chg:AXF12_11235	CDS	complement(2569231..2569587)	four helix bundle protein
chg:AXF12_11240	CDS	complement(2569614..2570801)	nicotinate phosphoribosyltransferase
chg:AXF12_11245	CDS	complement(2571299..2571478)	hypothetical protein
chg:AXF12_11250	CDS	2571518..2572051	DNA-binding protein
chg:AXF12_11255	CDS	2572059..2572253	50S ribosomal protein L32
chg:AXF12_11260	CDS	complement(2572351..2572770)	hypothetical protein
chg:AXF12_11265	CDS	complement(2572789..2573379)	peptide deformylase
chg:AXF12_11270	CDS	complement(2573502..2574494)	hypothetical protein
chg:AXF12_11275	CDS	2574650..2574892	hypothetical protein
chg:AXF12_11280	CDS	2574959..2576845	hypothetical protein
chg:AXF12_11285	CDS	complement(2576936..2578564)	methylcrotonoyl-CoA carboxylase
chg:AXF12_11290	gene	complement(2578795..2579001)	pseudogene
chg:AXF12_11295	CDS	2579333..2582074	TonB-dependent receptor
chg:AXF12_11300	gene	2582087..2583295	pseudogene
chg:AXF12_11305	CDS	complement(2583493..2583783)	hypothetical protein
chg:AXF12_11310	CDS	2584153..2585361	hypothetical protein
chg:AXF12_11315	CDS	2585405..2586868	hypothetical protein
chg:AXF12_11320	CDS	complement(2586942..2587421)	DNA starvation/stationary phase protection protein
chg:AXF12_11325	CDS	2587749..2588150	hypothetical protein
chg:AXF12_11330	CDS	2588156..2588662	molecular chaperone DnaJ
chg:AXF12_11335	CDS	2588690..2589661	acyl transferase
chg:AXF12_11340	CDS	complement(2589664..2589951)	hypothetical protein
chg:AXF12_11345	CDS	2590031..2591008	peptidase M23
chg:AXF12_11350	CDS	2591024..2591353	transcriptional regulator
chg:AXF12_11355	CDS	complement(2591350..2592264)	glutaminase A
chg:AXF12_11360	CDS	complement(2592268..2593602)	magnesium/cobalt efflux protein
chg:AXF12_11365	CDS	complement(2593628..2594035)	single-stranded DNA-binding protein
chg:AXF12_11370	CDS	complement(2594078..2595121)	A/G-specific adenine glycosylase
chg:AXF12_11375	CDS	complement(2595166..2595402)	hypothetical protein
chg:AXF12_11380	CDS	complement(2595627..2597054)	glycosyl hydrolase
chg:AXF12_11385	CDS	2597533..2598864	sodium:proton antiporter
chg:AXF12_11390	CDS	complement(2598972..2599886)	hypothetical protein
chg:AXF12_11395	CDS	complement(2599962..2600894)	peptidylprolyl isomerase
chg:AXF12_11400	CDS	complement(2601022..2601762)	hypothetical protein
chg:AXF12_11405	CDS	complement(2602358..2602831)	50S ribosomal protein L17
chg:AXF12_11410	CDS	complement(2602862..2603854)	DNA-directed RNA polymerase subunit alpha
chg:AXF12_11415	CDS	complement(2603876..2604481)	30S ribosomal protein S4
chg:AXF12_11420	CDS	complement(2604565..2604969)	30S ribosomal protein S11
chg:AXF12_11425	CDS	complement(2604984..2605358)	30S ribosomal protein S13
chg:AXF12_11430	CDS	complement(2605361..2605477)	50S ribosomal protein L36
chg:AXF12_11435	CDS	complement(2605746..2605961)	infA; translation initiation factor IF-1
chg:AXF12_11440	CDS	complement(2605971..2607317)	preprotein translocase subunit SecY
chg:AXF12_11445	CDS	complement(2607331..2607783)	50S ribosomal protein L15
chg:AXF12_11450	CDS	complement(2607801..2607983)	50S ribosomal protein L30
chg:AXF12_11455	CDS	complement(2607994..2608515)	30S ribosomal protein S5
chg:AXF12_11460	CDS	complement(2608524..2608880)	50S ribosomal protein L18
chg:AXF12_11465	CDS	complement(2608892..2609434)	50S ribosomal protein L6
chg:AXF12_11470	CDS	complement(2609454..2609852)	30S ribosomal protein S8
chg:AXF12_11475	CDS	complement(2609872..2610141)	30S ribosomal protein S14
chg:AXF12_11480	CDS	complement(2610146..2610697)	50S ribosomal protein L5
chg:AXF12_11485	CDS	complement(2610700..2611011)	50S ribosomal protein L24
chg:AXF12_11490	CDS	complement(2611031..2611399)	50S ribosomal protein L14
chg:AXF12_11495	CDS	complement(2611402..2611659)	30S ribosomal protein S17
chg:AXF12_11500	CDS	complement(2611674..2611865)	50S ribosomal protein L29
chg:AXF12_11505	CDS	complement(2611877..2612296)	50S ribosomal protein L16
chg:AXF12_11510	CDS	complement(2612317..2613063)	30S ribosomal protein S3
chg:AXF12_11515	CDS	complement(2613073..2613483)	50S ribosomal protein L22
chg:AXF12_11520	CDS	complement(2613489..2613767)	30S ribosomal protein S19
chg:AXF12_11525	CDS	complement(2613779..2614603)	rplB; 50S ribosomal protein L2
chg:AXF12_11530	CDS	complement(2614626..2614913)	50S ribosomal protein L23
chg:AXF12_11535	CDS	complement(2614921..2615550)	50S ribosomal protein L4
chg:AXF12_11540	CDS	complement(2615550..2616167)	50S ribosomal protein L3
chg:AXF12_11545	CDS	complement(2616352..2616663)	30S ribosomal protein S10
chg:AXF12_11550	CDS	complement(2616676..2618796)	fusA; elongation factor G
chg:AXF12_11555	CDS	complement(2618803..2619279)	30S ribosomal protein S7
chg:AXF12_11560	CDS	complement(2619309..2619713)	30S ribosomal protein S12
chg:AXF12_11565	CDS	complement(2620047..2620862)	hypothetical protein
chg:AXF12_11570	gene	complement(2620877..2621808)	pseudogene
chg:AXF12_11575	CDS	complement(2622100..2623221)	galactose mutarotase
chg:AXF12_11580	CDS	complement(2623288..2625261)	hypothetical protein
chg:AXF12_11585	CDS	complement(2625283..2626299)	arabinan endo-1,5-alpha-L-arabinosidase
chg:AXF12_11590	CDS	complement(2626484..2630497)	hypothetical protein
chg:AXF12_11595	CDS	complement(2630573..2631547)	1,4-beta-xylanase
chg:AXF12_11600	CDS	complement(2631549..2633132)	hypothetical protein
chg:AXF12_11605	CDS	complement(2633144..2636140)	SusC/RagA family TonB-linked outer membrane protein
chg:AXF12_11610	CDS	2636736..2637329	hypothetical protein
chg:AXF12_11615	gene	2637320..2638572	pseudogene
chg:AXF12_11620	CDS	complement(2638562..2638801)	hypothetical protein
chg:AXF12_11625	CDS	complement(2638860..2639615)	hypothetical protein
chg:AXF12_11630	gene	complement(2639691..2640395)	pseudogene
chg:AXF12_11635	CDS	2640494..2641492	glycosyl hydrolase family 5
chg:AXF12_11640	CDS	2641517..2642524	asparagine synthetase A
chg:AXF12_11645	CDS	2642586..2643461	metalloprotease
chg:AXF12_11650	CDS	2643439..2644134	octanoyltransferase
chg:AXF12_11655	gene	complement(2644144..2644939)	pseudogene
chg:AXF12_11660	CDS	complement(2645182..2647611)	phenylalanine--tRNA ligase subunit beta
chg:AXF12_11665	CDS	2648089..2648742	carbonic anhydrase
chg:AXF12_11670	CDS	complement(2648795..2649763)	bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase
chg:AXF12_11675	CDS	complement(2649830..2650789)	ribonucleotide reductase
chg:AXF12_11680	CDS	complement(2650908..2651525)	hypothetical protein
chg:AXF12_11685	CDS	complement(2652063..2653040)	pyruvate dehydrogenase
chg:AXF12_11690	CDS	2653553..2654014	SsrA-binding protein
chg:AXF12_11695	CDS	2654017..2654499	ABC transporter ATPase
chg:AXF12_11700	CDS	complement(2654575..2657475)	hypothetical protein
chg:AXF12_11705	CDS	complement(2657710..2658042)	hypothetical protein
chg:AXF12_11710	CDS	complement(2658012..2659172)	hypothetical protein
chg:AXF12_11715	CDS	complement(2659511..2660521)	asparagine synthetase A
chg:AXF12_11720	CDS	2660762..2661199	hypothetical protein
chg:AXF12_11725	CDS	2661236..2662060	hypothetical protein
chg:AXF12_11730	CDS	2662439..2662711	hypothetical protein
chg:AXF12_11735	CDS	2662753..2663034	hypothetical protein
chg:AXF12_11740	CDS	2663179..2664600	hypothetical protein
chg:AXF12_11745	CDS	2664675..2665361	hypothetical protein
chg:AXF12_11750	CDS	complement(2665512..2666513)	hypothetical protein
chg:AXF12_11755	CDS	2666719..2667507	transposase
chg:AXF12_11760	gene	complement(2667504..2668299)	pseudogene
chg:AXF12_11765	CDS	complement(2668549..2668968)	hypothetical protein
chg:AXF12_11770	CDS	complement(2668976..2669416)	hypothetical protein
chg:AXF12_11775	CDS	2669605..2671437	alpha-amlyase
chg:AXF12_11780	CDS	complement(2671497..2672285)	hypothetical protein
chg:AXF12_11785	CDS	2672685..2675810	SusC/RagA family TonB-linked outer membrane protein
chg:AXF12_11790	CDS	2675826..2677367	hypothetical protein
chg:AXF12_11795	CDS	2677428..2678432	hypothetical protein
chg:AXF12_11800	CDS	2678438..2679631	hypothetical protein
chg:AXF12_11805	CDS	2679633..2681021	hypothetical protein
chg:AXF12_11810	CDS	2681311..2683953	valine--tRNA ligase
chg:AXF12_11815	CDS	2684145..2684327	hypothetical protein
chg:AXF12_11820	CDS	2684372..2685187	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
chg:AXF12_11825	CDS	2685434..2686054	hypothetical protein
chg:AXF12_11830	CDS	2686175..2687560	Na+ dependent nucleoside transporter
chg:AXF12_11835	CDS	2687694..2688092	osmotically inducible protein OsmC
chg:AXF12_00005	CDS	join(2688098..2688484,1..387)	molecular chaperone DjlA
